statename,state,date,polldate,reporting,drop,outcomebo,outcomehc,pollbo,pollhc,daysout,turnout
Alabama,AL,2/5/2008,2/4/2008,100%,,300143,222897,45,43,1,32.2
Alabama,AL,2/5/2008,2/4/2008,100%,,300143,222897,44,45,1,32.2
Alabama,AL,2/5/2008,2/3/2008,100%,,300143,222897,49,47,2,32.2
Arizona,AZ,2/5/2008,2/1/2008,100%,,193126,229501,41,43,4,24.2
Arizona,AZ,2/5/2008,2/1/2008,100%,,193126,229501,39,45,4,24.2
Arizona,AZ,2/5/2008,1/24/2008,100%,,193126,229501,27,37,12,24.2
California,CA,2/5/2008,2/4/2008,100%,,2007934,2432459,42,52,1,40
California,CA,2/5/2008,2/4/2008,100%,,2007934,2432459,49,36,1,40
California,CA,2/5/2008,2/3/2008,100%,,2007934,2432459,40,39,2,40
Connecticut,CO,2/5/2008,2/3/2008,100%,,179720,165406,48,46,2,20.5
Connecticut,CO,2/5/2008,1/31/2008,100%,,179720,165406,48,44,5,20.5
Connecticut,CO,2/5/2008,1/27/2008,100%,,179720,165406,40,40,9,20.5
Delaware,DE,2/5/2008,2/1/2008,100%,,50467,39984,42,44,4,23.8
Georgia,GA,2/5/2008,2/4/2008,100%,,704247,330026,49,29,1,32
Georgia,GA,2/5/2008,2/3/2008,100%,,704247,330026,49,27,2,32
Georgia,GA,2/5/2008,2/2/2008,100%,,704247,330026,51,36,3,32
Illinois,IL,2/5/2008,2/3/2008,99%,,1318234,667930,66,30,2,33.8
Illinois,IL,2/5/2008,2/3/2008,99%,,1318234,667930,55,24,2,33.8
Illinois,IL,2/5/2008,1/31/2008,99%,,1318234,667930,60,24,5,33.8
Indiana,IN,5/6/2008,5/5/2008,100%,,630399,644594,45,43,1,37.3
Indiana,IN,5/6/2008,5/4/2008,100%,,630399,644594,44,48,2,37.3
Indiana,IN,5/6/2008,5/4/2008,100%,,630399,644594,42,54,2,37.3
Kentucky,KY,5/20/2008,5/18/2008,100%,,209778,459124,25,51,2,29.2
Kentucky,KY,5/20/2008,5/18/2008,100%,,209778,459124,31,62,2,29.2
Kentucky,KY,5/20/2008,5/15/2008,100%,,209778,459124,29,65,5,29.2
Maryland,MD,2/12/2008,2/10/2008,99%,,521686,309799,55,32,2,31.5
Maryland,MD,2/12/2008,2/8/2008,99%,,521686,309799,53,35,4,31.5
Maryland,MD,2/12/2008,2/7/2008,99%,,521686,309799,57,31,5,31.5
Massachusetts,MA,2/5/2008,2/3/2008,100%,,511887,704591,39,56,2,38.2
Massachusetts,MA,2/5/2008,2/3/2008,100%,,511887,704591,46,44,2,38.2
Massachusetts,MA,2/5/2008,1/28/2008,100%,,511887,704591,37,43,8,38.2
Minnesota,MN,2/5/2008,1/27/2008,99%,,142088,68980,33,40,9,
Mississippi,MS,3/11/2008,3/10/2008,,,255809,155686,54,38,1,27.5
Mississippi,MS,3/11/2008,3/10/2008,,,255809,155686,54,37,1,27.5
Mississippi,MS,3/11/2008,3/10/2008,,,255809,155686,46,40,1,27.5
Missouri,MO,2/5/2008,2/4/2008,100%,,405466,395013,45,42,1,33
Missouri,MO,2/5/2008,2/3/2008,100%,,405466,395013,43,54,2,33
Missouri,MO,2/5/2008,2/1/2008,100%,,405466,395013,41,47,4,33
Montana,MT,6/3/2008,6/1/2008,,,102373,74792,48,44,2,
New Hampshire,NH,1/8/2008,1/7/2008,100%,,105007,112610,40,31,1,53.6
New Hampshire,NH,1/8/2008,1/7/2008,100%,,105007,112610,39,34,1,53.6
New Hampshire,NH,1/8/2008,1/7/2008,100%,,105007,112610,42,29,1,53.6
New Jersey,NJ,2/5/2008,2/4/2008,100%,,487046,597329,43,49,1,29.2
New Jersey,NJ,2/5/2008,2/4/2008,100%,,487046,597329,41,46,1,29.2
New Jersey,NJ,2/5/2008,2/3/2008,100%,,487046,597329,41,52,2,29.2
New Mexico,NM,2/5/2008,1/31/2008,100%,,71396,73105,48,42,5,
New York,NY,2/5/2008,2/3/2008,100%,,697914,1003623,32,51,2,19.5
New York,NY,2/5/2008,2/3/2008,100%,,697914,1003623,38,56,2,19.5
New York,NY,2/5/2008,2/3/2008,100%,,697914,1003623,39,53,2,19.5
North Carolina,NC,5/6/2008,5/5/2008,,,875683,652824,47,43,1,32.8
North Carolina,NC,5/6/2008,5/5/2008,,,875683,652824,51,37,1,32.8
North Carolina,NC,5/6/2008,5/4/2008,,,875683,652824,48,45,2,32.8
Ohio,OH,3/4/2008,3/3/2008,100%,,979025,1207806,44,44,1,42.4
Ohio,OH,3/4/2008,3/2/2008,100%,,979025,1207806,44,54,2,42.4
Ohio,OH,3/4/2008,3/2/2008,100%,,979025,1207806,42,51,2,42.4
Oklahoma,OK,2/5/2008,2/3/2008,100%,,130130,228480,27,54,2,29.1
Oklahoma,OK,2/5/2008,1/30/2008,100%,,130130,228480,17,41,6,29.1
Oklahoma,OK,2/5/2008,1/27/2008,100%,,130130,228480,19,44,9,29.1
Oregon,OR,5/22/2008,5/18/2008,100%,,360728,252270,45,41,4,43.2
Oregon,OR,5/22/2008,5/18/2008,100%,,360728,252270,56,38,4,43.2
Oregon,OR,5/22/2008,5/18/2008,100%,,360728,252270,55,42,4,43.2
Pennsylvania,PA,4/22/2008,4/21/2008,100%,,1046220,1260444,42,49,1,34
Pennsylvania,PA,4/22/2008,4/21/2008,100%,,1046220,1260444,41,51,1,34
Pennsylvania,PA,4/22/2008,4/20/2008,100%,,1046220,1260444,49,46,2,34
South Carolina,SC,1/26/2008,1/25/2008,100%,,294898,140990,41,26,1,30.3
South Carolina,SC,1/26/2008,1/24/2008,100%,,294898,140990,43,30,2,30.3
South Carolina,SC,1/26/2008,1/23/2008,100%,,294898,140990,38,30,3,30.3
Tennessee,TN,2/5/2008,2/2/2008,100%,,251692,335745,35,55,3,26.1
Tennessee,TN,2/5/2008,1/30/2008,100%,,251692,335745,35,49,6,26.1
Tennessee,TN,2/5/2008,1/29/2008,100%,,251692,335745,31,36,7,26.1
Texas,TX,3/4/2008,3/3/2008,100%,,1459814,1358785,44,47,1,28.4
Texas,TX,3/4/2008,3/2/2008,100%,,1459814,1358785,44,49,2,28.4
Texas,TX,3/4/2008,3/2/2008,100%,,1459814,1358785,49,48,2,28.4
West Virginia,WV,5/13/2008,5/11/2008,100%,,91747,239298,24,60,2,32.5
West Virginia,WV,5/13/2008,5/11/2008,100%,,91747,239298,27,56,2,32.5
West Virginia,WV,5/13/2008,5/4/2008,100%,,91747,239298,23,63,9,32.5
Vermont,VT,3/4/2008,2/24/2008,,,91740,59640,57,33,9,40.7
Vermont,VT,3/4/2008,2/24/2008,,,91740,59640,60,34,9,40.7
Vermont,VT,3/4/2008,2/24/2008,,,91740,59640,53,39,9,40.7
Virginia,VA,2/12/2008,2/10/2008,99%,,627135,349528,60,38,2,26.9
Virginia,VA,2/12/2008,2/8/2008,99%,,627135,349528,53,37,4,26.9
Virginia,VA,2/12/2008,2/7/2008,99%,,627135,349528,52,37,5,26.9
Wisconsin,WI,2/19/2008,2/14/2008,100%,,646007,452795,47,42,5,37.1
Wisconsin,WI,2/19/2008,2/13/2008,100%,,646007,452795,47,43,6,37.1
Wisconsin,WI,2/19/2008,2/10/2008,100%,,646007,452795,45,41,9,37.1
Utah,UT,2/5/2008,2/1/2008,,,70414,48766,53,29,4,24.7
South Dakota,SD,6/3/2008,6/1/2008,,,43574,54014,34,60,2,28.4
